ID,ID
"Product Category","Product Category"
"Invoice ID","Invoice ID"
"Order Amount","Order Amount"
"Paid Date","Paid Date"
"Mark as Paid","Mark as Paid"
"Are you sure you wan't to mark selected transactions as paid?","Are you sure you wan't to mark selected transactions as paid?"
"Add New Vendor Commission","Add New Vendor Commission"
From,From
To,To
Select...,Select...
"Delete selected items?","Delete selected items?"
20,20
30,30
50,50
100,100
200,200
IDs,IDs
"Vendor Commission Value","Vendor Commission Value"
"Vendor Name","Vendor Name"
Financials,Financials
financials,financials
"Transactions Summary","Transactions Summary"
"Commissions Invoice","Commissions Invoice"
"Selected calculation type is considered for commission calculation","Selected calculation type is considered for commission calculation"
"Commission rate to be paid by the vendor to Marketplace Admin","Commission rate to be paid by the vendor to Marketplace Admin"
"Selected calculation type is considered for commission calculation","Selected calculation type is considered for commission calculation"
"Selected calculation type is considered for cancellation calculation","Selected calculation type is considered for cancellation calculation"
"Calculation of the Marketplace fee to be paid either in percentage or flat as per the selection","Calculation of the Marketplace fee to be paid either in percentage or flat as per the selection"
"Calculation of the Cancellation fee considered for vendor payout","Calculation of the Cancellation fee considered for vendor payout"
"Service tax percentage(%) levied on commission and marketplace fee.","Service tax percentage(%) levied on commission and marketplace fee."
"Commission of marketplace subscription to be paid as per the precedence configured","Commission of marketplace subscription to be paid as per the precedence configured"
"Selected entity will be liable to ship the order","Selected entity will be liable to ship the order"
"Selected entity will be liable for adjustment of refunds/adjustment amounts","Selected entity will be liable for adjustment of refunds/adjustment amounts"
"Selected entity will be liable to pay the tax to the market place","Selected entity will be liable to pay the tax to the market place"
"Payout entry with calculated commission will be generated for the completed orders after the specified days elapsed","Payout entry with calculated commission will be generated for the completed orders after the specified days elapsed"
"As per the selection the net payable will include or exclude the discount","As per the selection the net payable will include or exclude the discount"
"Select the category to add commission for","Select the category to add commission for"
"Enter the value for the commission to be levied on the category","Enter the value for the commission to be levied on the category"
"Selected configuration will be the base to calculate the commission either flat or percentage","Selected configuration will be the base to calculate the commission either flat or percentage"
"Marketplace fee to be paid either in percentage or flat as per the selection ","Marketplace fee to be paid either in percentage or flat as per the selection "
"Selected calculation type is considered for Marketplace fee calculation","Selected calculation type is considered for Marketplace fee calculation"
"Enter the value for the cancellation fee charged to be levied on the category","Enter the value for the cancellation fee charged to be levied on the category"
"Selected calculation type is considered for cancellation calculation","Selected calculation type is considered for cancellation calculation"
"Are you sure you want to add the category for '%1'","Are you sure you want to add the category for '%1'"
"Select the vendor already created","Select the vendor already created"
"Enter the value for the commission to be levied to the vendor","Enter the value for the commission to be levied to the vendor"
"Selected configuration will be the base to calculate the commission either flat or percentage","Selected configuration will be the base to calculate the commission either flat or percentage"
"Marketplace fee to be paid either in percentage or flat as per the selection ","Marketplace fee to be paid either in percentage or flat as per the selection "
"Selected calculation type is considered for Marketplace fee calculation","Selected calculation type is considered for Marketplace fee calculation"
"Enter the value for the cancellation fee charged to be levied to the vendor for canceling the order","Enter the value for the cancellation fee charged to be levied to the vendor for canceling the order"
"Selected calculation type is considered for cancellation calculation","Selected calculation type is considered for cancellation calculation"
"Are you sure you want to add the vendor for '%1'","Are you sure you want to add the vendor for '%1'"
